id,"partid","size","time"
240,"p875fo3qvg","40","26048"
241,"p7o6avebhl","12","4737"
242,"p4l2b7gj21","41","11453"
243,"p5jhkon19d","30","15058"
244,"pfppe02lr1","14","16976"
245,"pa3pjcd12u","29","14584"
246,"pbes0benml","35","12638"
247,"pb1cscoora","31","20571"
248,"p218nle8mh","38","13882"
249,"pntablbe56","17","15151"
250,"pmbthn6dul","32","11146"
251,"psngg50si7","27","13301"
252,"padodhgbto","25","27648"
253,"p5agqgh208","20","17315"
254,"puptiaujkq","32","10569"
255,"p34jmpo88f","30","17969"
256,"p81ap6chrj","28","15867"
257,"ppm91fc22j","12","9530"
258,"pu9r8qc1kc","37","12825"
259,"pt1kftc8lc","25","14087"
260,"pd227runam","28","13557"
261,"phrng5lt5g","24","13024"
262,"pjujc50mfv","34","9172"
263,"ptv5gvvnoa","23","17310"
264,"p2ebhkl02a","25","28918"
265,"pe19eu8f5j","28","17220"
266,"pv44cpe1h9","36","16197"
267,"p3hg26dqea","29","13368"
268,"ph4aksb45f","48","24350"
269,"pcgp3iji2a","33","16572"
270,"p3pafq2rf5","20","9776"
271,"p8ul2fmeei","36","9079"
272,"puv7bc69ft","30","10746"
273,"phbmbq04d5","17","30308"
274,"pm0mgcurkl","21","7405"
275,"p39i5o1brj","63","25146"
276,"pgl9cemrgp","25","25979"
277,"puc55nil0u","20","14790"
278,"p5gd6dj3r4","38","9644"
279,"pimmg48uv1","33","9260"
280,"prq3tdfnnb","32","16423"
281,"pm5h6dkknh","30","19908"
282,"poh7l11esu","16","14077"
283,"popmnak5pq","20","11441"
284,"pvse8fc08t","27","9766"
285,"p1mnhod90b","33","8454"
286,"pmrp7o68o6","30","20942"
287,"p1tp1lq0m6","26","10093"
288,"pk310v70o1","12","11068"
289,"ptfum7acli","25","19748"
290,"pbjia6u8ls","20","19330"
291,"p4d0thcgfe","37","12425"
292,"p25knhvsj4","19","8134"
293,"peb92s417h","25","9263"
294,"p96uclig9k","20","17809"
295,"pbcemmc84c","25","9168"
296,"pevs72fcse","33","13675"
297,"pd2d6nta56","64","22107"
298,"pjm4cvc9ti","15","17881"
299,"pn2rd6kiaj","34","15687"
300,"pikbh8p11n","64","27814"
301,"p0h1r83hh7","32","9830"
302,"p3qsvhiq2r","7","8860"
303,"pbg0ain4kb","49","13861"
304,"p7jujqdvd0","28","18071"
305,"pua0ii9p4k","27","20101"
306,"pu9llbv8l7","23","56411"
307,"plhe7o1oio","18","8627"
308,"piplmtivtm","27","11016"
309,"pup2pl8rt5","28","11958"
310,"ppcfdsa9or","32","17778"
311,"pri0hvupjg","28","13344"
312,"pif9spl72s","24","8401"
313,"p5bp8eq9n8","35","21703"
314,"pcgjn71sis","34","10602"
315,"ptvcnotetj","31","12173"
316,"pd6mivtjvq","27","7242"
317,"p2hthf58qu","26","11883"
318,"p9tm02k843","26","22566"
319,"pf3ne7haje","22","12642"
320,"pvp60obfoa","18","11912"
321,"po9cqcifpk","29","14776"
322,"p5o8svbnhq","31","20530"
323,"phul8cqcf4","42","26314"
324,"p6i054u70v","21","12715"
325,"p76ql4noif","30","12284"
326,"ptt8ovcot2","16","10355"
327,"p4kqt9gaa6","36","13433"
328,"pulq6nga8r","25","8211"
329,"p7a57kt96s","47","36306"
330,"pt90gtgs54","31","7580"
331,"pvtcdf8i38","25","21891"
332,"p7d0m87pkq","49","14164"
333,"pptrplovu7","42","15450"
334,"p3e2b3vfvo","24","10471"
335,"pb0pv404qg","31","9449"
336,"pqpvdcba9q","25","10302"
337,"p7ura0re2t","31","35073"
338,"pttqtn02ut","29","9297"
339,"pkk3lo9v4e","34","12313"
340,"ppk3iqmh0t","26","22626"
341,"p9c0rbdsnm","18","22106"
342,"prkdak12ij","33","11191"
343,"pfmr5sg42h","15","29146"
344,"p3uvr27l2d","20","8939"
345,"p4jtgatknu","25","18451"
346,"phbiuhbodu","14","7215"
347,"pj4agr4cbi","24","28624"
348,"p1rn7l58s4","8","7273"
349,"pdfs2s4tuv","36","11150"
350,"prigue3r0l","60","24133"
351,"pvmvk3ur5d","25","19774"
352,"p5f7um040a","30","13939"
353,"pb887s29pk","64","17572"
354,"p7gahpqpkj","37","42476"
355,"pdfk5dij3q","36","13398"
356,"pmku1p15aj","36","17956"
357,"p1qd74rpug","39","10015"
358,"pcmf5bdpvs","22","7877"
359,"po401f9o36","23","5843"
360,"pqv6q6idrs","29","30179"
361,"pns5doe91o","30","16748"
362,"p1l4dqjte2","22","12662"
363,"p83b1rghn9","32","42179"
364,"pfi6r8p08h","28","7433"
365,"ps17df6f7a","22","17427"
366,"pme0qnpl0j","29","30960"
367,"p3pj987k9q","25","9183"
368,"p3qafkl4t0","25","11243"
369,"pm8rdvj1tn","23","13761"
370,"p7k625ak4f","41","21971"
371,"p2r0dg082m","21","12440"
372,"pc66urv9r9","25","10767"
373,"pbtt1eqtld","36","14789"
374,"pif2njotsb","26","16992"
375,"pur9sqtj06","36","20046"
376,"p9mue6aht9","35","20241"
377,"pboa6ob573","64","26259"
378,"p085lk6lsa","18","15135"
379,"p5uku3kfe0","10","8284"
380,"p5qt4i8e34","10","13565"
381,"psenf964i3","28","19531"
382,"p7qc8llgs1","24","11681"
383,"plkh2mavui","35","12810"
384,"pkftjqo4bo","23","13020"
385,"p2ptpto6s5","32","13848"
386,"p9ersqcl1f","25","8341"
387,"pgemliimpk","25","14840"
388,"pr43a75b9b","23","8518"
389,"pun0tpvo4u","39","17943"
390,"pun0tpvo4u","39","17943"
391,"pun0tpvo4u","39","17943"
392,"pun0tpvo4u","39","17943"
393,"pun0tpvo4u","39","17943"
394,"pun0tpvo4u","39","17943"
395,"pun0tpvo4u","39","17943"
396,"pun0tpvo4u","39","17943"
397,"pv5bo4ccno","15","13815"
398,"p977uaho8b","29","20897"
399,"p2b32ppio1","29","7496"
400,"ptdtse6gag","40","27059"
401,"ph98tlb6q4","34","9195"
402,"p5ef9u14sb","22","6905"
403,"pl0htdvbrc","21","16922"
404,"pea4oha9vm","44","20742"
405,"pp19ncf91k","29","12114"
406,"pp19ncf91k","29","12114"
407,"pp19ncf91k","29","12114"
408,"pntsjk6ete","26","18605"
409,"pfgll3n1o2","32","16259"
410,"pcpbp823s4","34","9638"
411,"pj7cs33kdn","23","19462"
412,"ped7fncafs","21","8626"
413,"p58u2v4ccd","28","12821"
414,"pn7lq19f85","27","18141"
415,"pb2bdgl971","20","14388"
416,"p2bjanqvo7","24","17319"
417,"p0evvn3ut5","34","13932"
