id,"distribution_rating","partid","confidence_rating"
413,"normal","pvn7s7cu0m","22"
414,"uniform","ps3qmc4q9s","29"
415,"normal","pchsk1eqj8","43"
416,"normal","p412gih8pd","20"
417,"normal","pm6pg4bqjt","39"
418,"uniform","pv20l5fgol","26"
419,"normal","pk82s6jfsm","38"
420,"normal","p714q4qa4f","40"
421,"normal","pdc1fbbvv7","43"
422,"normal","poa9a10rql","27"
423,"uniform","pakhiuk0o7","39"
424,"normal","pdmvag9og5","26"
425,"normal","p09og45pgs","30"
426,"normal","p0lm91nst3","32"
427,"uniform","phgodepple","40"
428,"uniform","pgd7ppeh4f","30"
429,"uniform","phfrauvddt","14"
430,"normal","plpn96tiv6","9"
431,"normal","pc7o4njlga","41"
432,"normal","pqtqojnaa8","33"
433,"uniform","pp96pg3pmu","38"
434,"normal","pvifpj5bh7","30"
435,"normal","pe8ll3r0q7","31"
436,"normal","pgl419hdma","41"
437,"uniform","p425m35pmq","0"
438,"normal","p5sslebg7r","30"
439,"normal","poerddee8j","45"
440,"normal","ptulfbgfih","41"
441,"normal","pb2m3v12ec","32"
442,"normal","puemkoirj1","32"
443,"uniform","pk2igr4ecf","0"
444,"uniform","p2prkf50ev","36"
445,"uniform","pu9pm03pvi","28"
446,"normal","pti56j6djb","34"
447,"normal","p0gpi0a6v1","32"
448,"normal","pen5368pto","41"
449,"normal","pf4fm5lpr7","26"
450,"normal","pn5nbd5n3p","42"
451,"uniform","p33irj0ffk","39"
452,"normal","phg9946oc4","43"
453,"normal","pm47ha3rkk","37"
454,"normal","pis13ir8r7","41"
455,"normal","p16mhgme64","23"
456,"normal","ppc9t9bm46","25"
457,"normal","pg7v0posp4","50"
458,"normal","pfngsl17d1","46"
459,"normal","p1vd7vcot2","23"
460,"normal","p7po8kel1s","40"
461,"normal","pdt3k4grkg","35"
462,"normal","p5mhsoucdd","50"
463,"normal","p2upcebb5o","38"
464,"normal","pi5rgi8v72","27"
465,"uniform","p6e8aeahb6","16"
466,"normal","pu9louv4mb","29"
467,"normal","pbfltesp22","37"
468,"normal","p6u7vknqnq","37"
469,"uniform","pa02d22d6a","16"
470,"normal","ppql5aa0sg","36"
471,"normal","pgkedk5gje","36"
472,"uniform","pi1eakaefq","33"
473,"normal","po02mbu8v4","28"
474,"normal","pkg802didd","13"
475,"normal","p8no32nq3l","36"
476,"normal","pg01kgbfph","26"
477,"uniform","pgroai2fuh","19"
478,"normal","pesfdcklu5","19"
479,"normal","p689f4befn","36"
480,"uniform","pbi22mdfms","30"
481,"normal","pjlfp2imvb","34"
