id,"partid",age,"sex","job","education"
205,"phvnhhumf3",22,"male","working","bachelor"
206,"pu7m5saf40",31,"male","working","doctor"
207,"pj6ba4vf05",43,"female","working","bachelor"
208,"phkoe53d87",23,"male","working","high_school"
209,"pf18grlf9d",43,"female","working","professional"
210,"pvsgvkg69g",37,"female","working","high_school"
211,"pah5p7uird",30,"male","working","high_school"
212,"pqb4420cef",31,"male","working","high_school"
213,"pu5tsq87ao",36,"male","working","master"
214,"pobfpg81cq",34,"female","working","bachelor"
215,"pv8t0tgtp6",37,"male","working","professional"
216,"poq7tt5vdc",34,"female","working","bachelor"
217,"poj79idcf0",47,"male","working","professional"
218,"pjfq0p7baa",29,"female","working","master"
219,"p7djp63q4a",51,"female","working","professional"
220,"piuhjt7i4q",32,"male","working","high_school"
221,"p7so1ufadf",34,"male","working","high_school"
222,"paa8i86so5",42,"male","working","bachelor"
223,"pg3kt868bu",32,"female","working","professional"
224,"p6e8aeahb6",39,"male","working","high_school"
225,"pdh9s8a00b",40,"male","unemployed","high_school"
226,"p21kbvvmfc",37,"male","working","master"
227,"p81rlmhdnb",47,"female","working","bachelor"
228,"pkd4jopsf3",36,"female","working","high_school"
229,"po4aj9j1v6",23,"male","working","high_school"
230,"pisuflku9h",39,"female","working","bachelor"
231,"p6plqnfn40",32,"male","working","professional"
232,"phbo0m43bh",24,"female","working","high_school"
233,"pnkoaqnfhp",35,"female","working","bachelor"
234,"pp2rfput4o",23,"female","unemployed","high_school"
235,"ptnulohtrd",27,"female","working","high_school"
236,"phqenajarg",25,"male","working","bachelor"
237,"p42maehcjr",58,"female","working","bachelor"
238,"pspkd94r7m",26,"male","working","high_school"
239,"p1vk9buve4",29,"female","unemployed","bachelor"
240,"p6i054u70v",25,"male","working","high_school"
241,"p3dhe9nm4p",35,"male","working","bachelor"
242,"poorvvdi41",36,"male","working","bachelor"
243,"pbpefv3ks8",26,"male","working","high_school"
244,"p22t9djnso",67,"male","working","high_school"
245,"p2c0gce542",31,"male","working","bachelor"
246,"ps4phe4v84",33,"male","working","bachelor"
247,"pa7t5e20n4",32,"male","unemployed","high_school"
248,"pqdm63n9np",34,"male","working","professional"
249,"p6nsqi5atj",47,"male","working","high_school"
250,"pm3cnmlu26",48,"female","working","bachelor"
251,"ph8am4qfr8",24,"male","unemployed","high_school"
252,"po0b5rqdhv",49,"female","unemployed","high_school"
253,"pumsid4bdn",45,"male","working","high_school"
254,"pnqtg97b9m",31,"male","unemployed","professional"
255,"ph18v6t8tc",53,"female","working","professional"
256,"p3cg7q7aje",26,"female","working","bachelor"
257,"po4pu4205j",34,"female","working","high_school"
258,"pikhsb36p9",38,"female","working","high_school"
259,"pbcgofmj9q",49,"male","working","bachelor"
260,"p7fuma5crb",43,"female","working","bachelor"
261,"pc36g6gpk9",44,"male","working","master"
